longitude,latitude,temperature
-54.30,58.20,8.58
-54.10,58.30,8.34
-53.70,58.50,7.99
-53.50,58.50,6.89
-53.80,58.40,6.37
-53.60,58.30,5.69
-53.60,58.20,4.72
-53.30,58.10,3.60
-54.40,58.40,3.41
-54.70,58.40,3.29
-55.20,58.20,3.18
-55.80,58.00,3.15
-54.60,57.20,3.14
-50.20,56.10,3.18
-50.30,56.20,3.21
-50.20,56.00,3.22
-50.40,56.10,3.25
-50.70,56.60,3.32
-51.40,56.20,3.32
-51.40,56.60,3.32
-50.80,57.40,3.30
-50.70,56.20,3.44
-50.40,54.90,3.48
-50.00,54.00,3.73
-50.20,53.60,4.52
-50.10,53.90,5.13
-48.80,54.20,5.18
-50.20,54.90,5.81
-49.60,55.40,6.20
-50.50,55.20,7.38
-49.80,55.00,7.80
-49.90,54.40,8.65
-50.00,54.80,8.91
-50.50,55.10,7.58
-50.50,55.00,12.00
-50.80,54.40,10.90
-48.70,51.60,10.20
-48.30,50.50,10.10
-47.90,50.10,13.10
-47.50,49.90,13.00
-47.30,49.50,13.20
-46.30,49.00,12.80
-44.20,49.10,14.00
-43.20,47.90,11.70
-42.60,48.80,14.40
-41.80,50.20,15.20
-40.30,50.70,13.20
-38.70,50.40,9.25
-38.20,50.80,8.76
-37.70,50.90,9.38
-38.10,51.20,9.75
-38.10,51.40,10.20
-37.60,51.70,8.42
-29.20,52.00,11.60
-29.00,52.20,10.90
-28.10,52.20,11.10
-28.10,52.10,10.10
-28.60,52.30,9.76
-28.30,53.10,9.44
-27.30,53.90,9.78
-26.90,54.30,8.53
-26.60,54.50,8.64
-26.60,54.90,9.10
-27.20,55.10,9.00
-27.50,55.00,9.50
-27.40,55.00,9.87
-28.10,55.40,10.60
-27.90,55.20,10.40
-28.40,56.00,11.40
-28.60,56.20,11.80
-28.20,56.70,12.80
-27.30,56.90,12.50
-27.50,57.00,12.00
-26.90,57.20,12.90
-26.60,58.00,12.20
-47.10,45.70,9.64
-47.60,45.50,7.81
-48.00,45.00,7.72
-47.20,45.10,7.97
-46.60,45.30,7.96
-47.40,45.30,7.05
-47.40,45.50,7.62
-47.20,45.60,6.48
-48.10,41.50,11.10
-47.70,41.60,9.56
-47.30,41.40,9.33
-46.80,42.30,13.40
-44.00,42.90,17.00
-42.50,42.60,15.80
-41.40,43.00,13.20
-41.70,43.30,15.00
-42.10,43.90,12.20
-42.80,43.30,15.70
-41.00,42.50,16.20
-40.00,42.70,15.00
-40.20,41.60,17.70
-41.00,40.30,18.80
-40.90,39.60,19.80
-41.30,38.90,20.10
-41.60,38.20,20.90
-42.10,37.90,21.40
-43.10,37.90,24.10
-44.00,37.80,23.00
-44.60,37.70,23.70
-44.70,37.90,23.10
-44.90,37.90,23.60
-61.80,42.50,16.20
-62.00,42.40,15.10
-62.20,42.20,16.70
-62.30,42.30,15.60
